competition_name,position,team_name,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,expected_goals,expected_goals_conceded,expected_goals_diff_90_min,last_5,attendance,top_team_scorer
Premier League,1,Arsenal,2,2,0,0,6,0,6,4.0,1.7,1.15,W W,60110.0,"Viktor Gyökeres, Jurriën Timber - 2"
Premier League,2,Tottenham,2,2,0,0,5,0,6,3.4,2.4,0.47,W W,61077.0,"Richarlison, Brennan Johnson - 2"
Premier League,3,Chelsea,2,1,1,0,5,1,4,4.3,1.3,1.47,D W,39678.0,"Trevoh Chalobah, Pedro Neto... - 1"
Premier League,4,Liverpool,1,1,0,0,4,2,3,2.2,1.7,0.5,W,60315.0,"Mohamed Salah, Federico Chiesa... - 1"
Premier League,5,Manchester City,2,1,0,1,4,2,3,4.0,1.7,1.15,W L,0.0,Erling Haaland - 2
Premier League,6,Nott'ham Forest,1,1,0,0,3,1,3,1.8,1.4,0.4,W,29949.0,Chris Wood - 2
Premier League,7,Sunderland,2,1,0,1,3,2,3,1.5,1.6,-0.02,W L,46233.0,"Daniel Ballard, Wilson Isidor... - 1"
Premier League,8,Bournemouth,2,1,0,1,3,4,3,3.0,2.7,0.16,L W,11070.0,Antoine Semenyo - 2
Premier League,9,Brentford,2,1,0,1,2,3,3,2.6,3.0,-0.2,L W,16838.0,"Dango Ouattara, Thiago - 1"
Premier League,10,Burnley,2,1,0,1,2,3,3,1.9,3.0,-0.58,L W,21285.0,"Josh Cullen, Jaidon Anthony - 1"
Premier League,11,Leeds United,2,1,0,1,1,5,3,2.2,3.4,-0.62,W L,36820.0,Lukas Nmecha - 1
Premier League,12,Fulham,1,0,1,0,1,1,1,0.7,1.5,-0.73,D,0.0,Rodrigo Muniz - 1
Premier League,13,Brighton,1,0,1,0,1,1,1,1.5,0.7,0.73,D,31478.0,Matt O'Riley - 1
Premier League,14,Crystal Palace,1,0,1,0,0,0,1,0.6,1.6,-0.93,D,0.0,0
Premier League,15,Newcastle Utd,1,0,1,0,0,0,1,1.4,0.2,1.23,D,0.0,0
Premier League,16,Aston Villa,2,0,1,1,0,1,1,1.4,2.7,-0.62,D L,42526.0,0
Premier League,17,Everton,1,0,0,1,0,1,0,0.8,2.0,-1.26,L,0.0,0
Premier League,18,Manchester Utd,1,0,0,1,0,1,0,1.5,1.3,0.19,L,73475.0,0
Premier League,19,Wolves,2,0,0,2,0,5,0,1.0,3.7,-1.33,L L,31456.0,0
Premier League,20,West Ham,2,0,0,2,1,8,0,1.3,3.5,-1.1,L L,0.0,Lucas Paquetá - 1
La Liga,1,Barcelona,2,2,0,0,6,2,6,4.0,2.0,0.97,W W,0.0,Ferrán Torres - 2
La Liga,2,Betis,2,1,1,0,2,1,4,3.8,1.8,1.0,D W,54646.0,"Giovani Lo Celso, Aitor Ruibal - 1"
La Liga,3,Rayo Vallecano,1,1,0,0,3,1,3,3.4,0.6,2.85,W,0.0,"Álvaro García, Isaac Palazón Camacho... - 1"
La Liga,4,Getafe,1,1,0,0,2,0,3,1.4,0.7,0.7,W,0.0,"Adrián Liso, Christantus Uche - 1"
